Dataset,Model,Whitebox,Layers_Used,Poolers_Used,Seed,predict_accuracy,predict_f1,predict_precision,predict_recall
toxigen,bart-large,K-means,All,mean_with_attention,4399,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Embedding Only,mean_with_attention,4399,0.7212765957446808,0.4401709401709402,0.5597826086956522,0.3626760563380282
toxigen,bart-large,Decision Tree,Embedding Only,mean_with_attention,4399,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,KNN,Embedding Only,mean_with_attention,4399,0.7127659574468085,0.4421487603305785,0.535,0.3767605633802817
toxigen,bart-large,K-means,Embedding Only,mean_with_attention,4399,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Embedding + Last,mean_with_attention,4399,0.7468085106382979,0.4137931034482759,0.6885245901639344,0.2957746478873239
toxigen,bart-large,Decision Tree,Embedding + Last,mean_with_attention,4399,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,KNN,Embedding + Last,mean_with_attention,4399,0.7606382978723404,0.4332493702770781,0.7610619469026548,0.3028169014084507
toxigen,bart-large,K-means,Embedding + Last,mean_with_attention,4399,0.6978723404255319,0.0,0.0,0.0
toxigen,bart-large,SVM,Last Only,mean_with_attention,4399,0.7851063829787234,0.6699346405228759,0.625,0.721830985915493
toxigen,bart-large,Decision Tree,Last Only,mean_with_attention,4399,0.8021276595744681,0.6265060240963856,0.7289719626168224,0.5492957746478874
toxigen,bart-large,KNN,Last Only,mean_with_attention,4399,0.8180851063829787,0.6692456479690523,0.7424892703862661,0.6091549295774648
toxigen,bart-large,K-means,Last Only,mean_with_attention,4399,0.7914893617021277,0.6754966887417218,0.6375,0.7183098591549296
toxigen,bart-large,SVM,All,mean_with_attention,3012023,0.801063829787234,0.6759098786828422,0.6655290102389079,0.6866197183098591
toxigen,bart-large,Decision Tree,All,mean_with_attention,3012023,0.7553191489361702,0.3882978723404255,0.7934782608695652,0.2570422535211267
toxigen,bart-large,KNN,All,mean_with_attention,3012023,0.8031914893617021,0.6216768916155418,0.7414634146341463,0.5352112676056338
toxigen,bart-large,K-means,All,mean_with_attention,3012023,0.6978723404255319,0.0,0.0,0.0
